ward,population
E05013203,9466
E05013204,8604
E05013205,6304
E05013206,8180
E05013207,2427
E05013208,9723
E05013209,7635
E05013210,7619
E05013211,11300
E05012193,8671
E05012194,8274
E05012195,8506
E05012196,11941
E05012197,9667
E05012198,9430
E05012199,9154
E05012200,8346
E05012201,9258
E05012202,9269
E05012203,11456
E05012204,8650
E05012205,7093
E05012206,9077
E05012207,10781
E05012208,8262
E05012000,2726
E05012001,3422
E05012002,1473
E05012003,1601
E05012004,1325
E05012005,1412
E05012006,1630
E05012007,3211
E05012008,2783
E05012009,2654
E05012010,3591
E05012011,1439
E05012012,1663
E05012013,3214
E05012014,2748
E05012015,3767
E05012016,1528
E05012017,1583
E05012018,3020
E05012019,3548
E05012020,1443
E05012021,1657
E05012022,2999
E05012023,1513
E05012024,3366
E05012025,2246
E05005316,3881
E05005317,3607
E05005318,3728
E05005319,4074
E05005320,5780
E05005321,6148
E05005322,5546
E05005323,4070
E05005324,6093
E05005325,6269
E05005326,6016
E05005327,3957
E05005328,5696
E05005329,6012
E05010214,4945
E05010215,4273
E05010216,3994
E05010217,4970
E05010218,4730
E05010219,3952
E05010220,4237
E05010221,4814
E05010222,4548
E05010223,4189
E05010224,4254
E05010225,7230
E05010226,4936
E05010227,5776
E05010228,6138
E05010229,7386
E05010230,3894
E05010231,4702
E05010232,4206
E05010233,4138
E05010234,4323
E05010235,4742
E05010236,4658
E05005357,6669
E05005358,5506
E05005359,3818
E05005360,4564
E05005361,4564
E05005362,5056
E05005363,9511
E05005364,4607
E05005365,2185
E05005366,4187
E05005367,5671
E05005368,3948
E05005369,4683
E05005370,3610
E05005371,2163
E05005372,4032
E05005373,6388
E05005374,3917
E05005375,6413
E05005376,5334
E05005377,5959
E05005378,6344
E05005379,4118
E05005380,2158
E05005381,2025
E05009932,6619
E05009933,4567
E05009934,4979
E05009935,2424
E05009936,4432
E05009937,4525
E05009938,6616
E05009939,4365
E05009940,4641
E05009941,6049
E05009942,4584
E05009943,6216
E05009944,5143
E05009945,4978
E05009946,5170
E05009947,1850
E05009948,2628
E05009949,5656
E05009950,6120
E05009951,4582
E05009952,4284
E05009953,4364
E05009954,4815
E05009955,2335
E05000650,14141
E05000651,11538
E05000652,14394
E05000653,13646
E05000654,17583
E05000655,16571
E05000656,18100
E05000657,16265
E05000658,16203
E05000659,13820
E05000660,14686
E05000661,12568
E05000662,14799
E05000663,14777
E05000664,12834
E05000665,18123
E05000666,14927
E05000667,13517
E05000668,14219
E05000669,13251
E05014152,11077
E05014153,13312
E05014154,10950
E05014155,11558
E05014156,11199
E05014157,11963
E05014158,9744
E05014159,9884
E05014160,11278
E05014161,12020
E05014162,11617
E05014163,11683
E05014164,11717
E05014165,13467
E05014166,11279
E05014167,10067
E05014168,11034
E05011350,14822
E05011351,21044
E05011352,16064
E05011353,15236
E05011354,18506
E05011355,17475
E05011356,21475
E05011357,12843
E05011358,17592
E05011359,20030
E05011360,18196
E05011361,13697
E05011362,14709
E05011363,15083
E05011364,14870
E05011365,20988
E05011366,19996
E05011367,15569
E05011368,19487
E05011369,19648
E05011370,20875
E05011371,19275
E05011372,21277
E05011373,18813
E05011374,15064
E05011375,15364
E05011376,11663
E05011377,17434
E05011378,17446
E05011379,16557
E05011380,15439
E05011381,15414
